CurrencyName,BuyingRate,CashBuyingRate,SellingRate,CashSellingRate,MiddleRate,PubTime
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 05:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 00:00:05
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:10:22
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:10:22
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:10:22
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 05:51:10
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 05:51:06
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 05:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 05:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 05:30:00







USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 10:10:15
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 10:10:15
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 05:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 05:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 05:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 00:00:05
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:10:22
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:10:22
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:10:22
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 05:51:10
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 05:51:06
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 05:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 05:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 05:30:00







USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 10:10:15
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 10:10:15
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 05:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 05:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 05:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 00:00:05
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:10:22
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:10:22
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:10:22
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 05:51:10
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 05:51:06
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 05:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 05:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 05:30:00







USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 10:10:15
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 10:10:15
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 05:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 05:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 05:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 00:00:05
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:10:22
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:10:22
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:10:22
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 05:51:10
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 05:51:06
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 05:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 05:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 05:30:00







USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 10:10:15
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 10:10:15
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 05:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 05:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 05:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 00:00:05
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:10:22
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:10:22
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:10:22
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 05:51:10
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 05:51:06
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 05:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 05:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 05:30:00







USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 10:10:15
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 10:10:15
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 05:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 05:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 05:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 00:00:05
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:10:22
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:10:22
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:10:22
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 05:51:10
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 05:51:06
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 05:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 05:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 05:30:00







USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 10:10:15
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 10:10:15
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 05:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 05:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 05:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 00:00:05
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:10:22
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:10:22
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:10:22
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 05:51:10
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 05:51:06
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 05:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 05:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 05:30:00







USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 10:10:15
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 10:10:15
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 05:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 05:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 05:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.10 00:00:05
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:10:22
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:10:22
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 10:10:22
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 05:51:10
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 05:51:06
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 05:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 05:30:00
USD,646.23,640.98,648.97,648.97,647.08,2021.01.09 05:30:00




