CurrencyName,BuyingRate,CashBuyingRate,SellingRate,CashSellingRate,MiddleRate,PubTime
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 05:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 05:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 05:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 00:00:05
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:10:22
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:10:22
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:10:22
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 05:51:10
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 05:51:06
EUR,789.23,764.71,795.05,797.61,793.74,2021.01.09 05:30:00
EUR,789.23,764.71,795.05,797.61,793.74,2021.01.09 05:30:00
EUR,789.23,764.71,795.05,797.61,793.74,2021.01.09 05:30:00







EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 10:10:15
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 10:10:15
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 05:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 05:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 05:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 00:00:05
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:10:22
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:10:22
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:10:22
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 05:51:10
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 05:51:06
EUR,789.23,764.71,795.05,797.61,793.74,2021.01.09 05:30:00
EUR,789.23,764.71,795.05,797.61,793.74,2021.01.09 05:30:00
EUR,789.23,764.71,795.05,797.61,793.74,2021.01.09 05:30:00







EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 10:10:15
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 10:10:15
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 05:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 05:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 05:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 00:00:05
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:10:22
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:10:22
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:10:22
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 05:51:10
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 05:51:06
EUR,789.23,764.71,795.05,797.61,793.74,2021.01.09 05:30:00
EUR,789.23,764.71,795.05,797.61,793.74,2021.01.09 05:30:00
EUR,789.23,764.71,795.05,797.61,793.74,2021.01.09 05:30:00







EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 10:10:15
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 10:10:15
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 05:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 05:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 05:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 00:00:05
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:10:22
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:10:22
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:10:22
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 05:51:10
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 05:51:06
EUR,789.23,764.71,795.05,797.61,793.74,2021.01.09 05:30:00
EUR,789.23,764.71,795.05,797.61,793.74,2021.01.09 05:30:00
EUR,789.23,764.71,795.05,797.61,793.74,2021.01.09 05:30:00







EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 10:10:15
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 10:10:15
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 05:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 05:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 05:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 00:00:05
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:10:22
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:10:22
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:10:22
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 05:51:10
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 05:51:06
EUR,789.23,764.71,795.05,797.61,793.74,2021.01.09 05:30:00
EUR,789.23,764.71,795.05,797.61,793.74,2021.01.09 05:30:00
EUR,789.23,764.71,795.05,797.61,793.74,2021.01.09 05:30:00







EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 10:10:15
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 10:10:15
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 05:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 05:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 05:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 00:00:05
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:10:22
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:10:22
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:10:22
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 05:51:10
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 05:51:06
EUR,789.23,764.71,795.05,797.61,793.74,2021.01.09 05:30:00
EUR,789.23,764.71,795.05,797.61,793.74,2021.01.09 05:30:00
EUR,789.23,764.71,795.05,797.61,793.74,2021.01.09 05:30:00







EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 10:10:15
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 10:10:15
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 05:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 05:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 05:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 00:00:05
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:10:22
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:10:22
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:10:22
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 05:51:10
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 05:51:06
EUR,789.23,764.71,795.05,797.61,793.74,2021.01.09 05:30:00
EUR,789.23,764.71,795.05,797.61,793.74,2021.01.09 05:30:00
EUR,789.23,764.71,795.05,797.61,793.74,2021.01.09 05:30:00







EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 10:10:15
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 10:10:15
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 05:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 05:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 05:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.10 00:00:05
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:10:22
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:30:00
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:10:22
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 10:10:22
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 05:51:10
EUR,788.78,764.28,794.6,797.16,793.74,2021.01.09 05:51:06
EUR,789.23,764.71,795.05,797.61,793.74,2021.01.09 05:30:00
EUR,789.23,764.71,795.05,797.61,793.74,2021.01.09 05:30:00
EUR,789.23,764.71,795.05,797.61,793.74,2021.01.09 05:30:00




